filename,int-bounds,big-arr,big-arr-10x,linked,dlinked,bintree
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp860.h_cp860_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp861.h_cp861_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_Arduinotoolssdklwipsrcappespconn_buf.c_ringbuf_reset.c,0,NA,NA,NA,NA,NA
/home/41k1/extr_Arduinotoolssdklwipsrccoredef.c_lwip_htonl.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1256.h_cp1256_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1257.h_cp1257_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1163.h_cp1163_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1250.h_cp1250_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp775.h_cp775_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp850.h_cp850_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp852.h_cp852_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp853.h_cp853_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1046.h_cp1046_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1124.h_cp1124_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1251.h_cp1251_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1252.h_cp1252_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1125.h_cp1125_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1129.h_cp1129_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1253.h_cp1253_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1254.h_cp1254_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_2.h_iso8859_2_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_3.h_iso8859_3_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp50221_0212_ext.h_cp50221_0212_ext_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp737.h_cp737_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1161.h_cp1161_wctomb.c,0,NA,1,NA,NA,NA
/home/41k1/extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1162.h_cp1162_wctomb.c,0,NA,1,NA,NA,NA
